Name ,Address ,Latitude,Longtitude,Type ,Latest Inspection Date,Type,Critical_Violation,Non_Critical_Violation,Total
      1839 TAPHOUSE , 212 E  GREEN MEADOWS COLUMBIA 65203,38.915846,-92.336534,  RESTAURANT  ,     3-30-2016  ,     ROUTINE  ,3,2,5
      22 DRIVE THRU , 889 Hwy 22 Centralia 65240,39.217851,-92.128959,  RESTAURANT  ,     2-18-2016  ,     ROUTINE  ,1,0,1
      44 CANTEEN , 21 N. 9th St. Columbia 65201,38.952301,-92.327836,  RESTAURANT  ,     3-29-2016  ,     ROUTINE  ,0,0,0
      44 STONE , 3910   PEACHTREE COLUMBIA 65203,38.907336,-92.336636,  RESTAURANT  ,     3-18-2016  ,     ROUTINE  ,0,1,1
      63 DINER , 5801 N 763 HWY  65202,39.014352,-92.323521,  RESTAURANT  ,     12-26-2014  ,     ROUTINE  ,5,1,6
      9TH STREET PUBLIC HOUSE , 36 N  NINTH COLUMBIA 65201,38.951923,-92.327501,  RESTAURANT  ,     11-18-2015  ,     ROUTINE  ,3,0,3
      ABC CHINESE , 3510   I-70 DRIVE SOUTHEAST COLUMBIA 65201,38.960854,-92.284414,  RESTAURANT  ,     4-29-2016  ,     ROUTINE  ,4,1,5
     Abigail's , 206 Central Rocheport 65279,38.979453,-92.566649,  RESTAURANT ,     4-14-2016  ,     ROUTINE  ,2,0,2
     ADDISON'S , 709   CHERRY COLUMBIA 65201,38.950764,-92.329303,  RESTAURANT ,     12-8-2015  ,     ROUTINE  ,2,1,3
     AFC SUSHI , C/O SCHNUCK  S 1400   FORUM COLUMBIA 65203 ,38.951705,-92.334072,  RESTAURANT ,     1-19-2016  ,     ROUTINE  ,0,0,0
      AGAVE , 901   SAFARI COLUMBIA 65201,38.987369,-92.326858,  RESTAURANT  ,     10-20-2015  ,     FOLLOW UP  ,0,0,0
      AGAVE , 1000   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.965422,-92.35281,  RESTAURANT  ,     1-6-2016  ,     FOLLOW UP  ,0,0,0
     AMERICA'S BV INN REST , 1900   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.966245,-92.367346,  RESTAURANT ,     6-30-2015  ,     ROUTINE  ,3,0,3
      ANGELOS , 4107 S  PROVIDENCE COLUMBIA 65203,38.904812,-92.336048,  RESTAURANT  ,     4-29-2016  ,     ROUTINE  ,1,0,1
     APPLEBEE'S , 2010   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.966377,-92.370465,  RESTAURANT ,     11-18-2015  ,     ROUTINE  ,0,3,3
     APPLEBEE'S , 2601 E  BROADWAY COLUMBIA 65201,38.947419,-92.298865,  RESTAURANT ,     11-4-2015  ,     ROUTINE  ,0,2,2
     ARBY'S , 3911 S  PROVIDENCE COLUMBIA 65203,38.907628,-92.335864,  RESTAURANT ,     2-16-2016  ,     ROUTINE  ,1,0,1
     ARBY'S , 3200   BROADWAY BUSINESS PARK COLUMBIA 65203,38.953827,-92.385224,  RESTAURANT ,     1-12-2016  ,     ROUTINE  ,2,2,4
      ARCH & COLUMN PUB , 1301 E  BUSINESS LOOP 70 COLUMBIA 65201,38.963844,-92.310516,  RESTAURANT  ,     6-29-2015  ,     ROUTINE  ,0,0,0
     ARRIS   PIZZA , 1020 E  GREEN MEADOWS COLUMBIA 65201,38.91083,-92.328367,  RESTAURANT ,     2-8-2016  ,     ROUTINE  ,1,1,2
      ASHLAND OPTIMIST , 511 OPTIMIST DR. ASHLAND 65010,38.781833,-92.255434,  RESTAURANT  ,     12-18-2015  ,     ROUTINE  ,6,2,8
     AUNTIE ANNE'S , 2300 BERNADETTE STE 346 COLUMBIA 65203,38.963839,-92.375518,  RESTAURANT ,     5-2-2016  ,     ROUTINE  ,1,1,2
      B & B BAGEL COMPANY , 124 E   NIFONG                    COLUMBIA 65203,38.908783,-92.337004,  RESTAURANT  ,     1-28-2016  ,     ROUTINE  ,0,1,1
